tick,agent,type,unit,target_x,target_y,target_unit,building_type,mine,base
1,0,BUILD,1,62,20,-1,BASE,-1,-1
1,1,BUILD,0,7,7,-1,BASE,-1,-1
23,0,TRAIN,4,0,0,-1,PAWN,-1,-1
23,0,BUILD,1,66,25,-1,BARRACKS,-1,-1
23,1,TRAIN,5,0,0,-1,PAWN,-1,-1
23,1,BUILD,0,9,3,-1,ARCHERY,-1,-1
27,0,TRAIN,4,0,0,-1,PAWN,-1,-1
27,0,GATHER,8,0,0,-1,,3,4
27,1,TRAIN,5,0,0,-1,PAWN,-1,-1
27,1,GATHER,9,0,0,-1,,2,5
31,0,GATHER,10,0,0,-1,,3,4
31,1,TRAIN,5,0,0,-1,PAWN,-1,-1
31,1,GATHER,11,0,0,-1,,2,5
35,1,GATHER,12,0,0,-1,,2,5
39,0,TRAIN,4,0,0,-1,PAWN,-1,-1
43,0,GATHER,13,0,0,-1,,3,4
45,0,TRAIN,4,0,0,-1,PAWN,-1,-1
49,0,TRAIN,4,0,0,-1,PAWN,-1,-1
49,0,GATHER,14,0,0,-1,,3,4
50,1,TRAIN,5,0,0,-1,PAWN,-1,-1
53,0,GATHER,15,0,0,-1,,3,4
54,1,GATHER,16,0,0,-1,,2,5
65,1,GATHER,0,0,0,-1,,2,5
68,0,GATHER,1,0,0,-1,,3,4
68,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
74,0,BUILD,1,69,19,-1,ARCHERY,-1,-1
77,1,BUILD,0,3,8,-1,MONASTERY,-1,-1
77,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
83,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
91,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
99,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
107,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
115,0,BUILD,1,68,15,-1,MONASTERY,-1,-1
115,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
115,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
123,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
129,1,GATHER,0,0,0,-1,,2,5
129,1,TRAIN,18,0,0,-1,MONK,-1,-1
131,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
139,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
139,1,TRAIN,18,0,0,-1,MONK,-1,-1
147,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
147,1,ATTACK,20,0,0,19,,-1,-1
147,1,ATTACK,21,0,0,26,,-1,-1
147,1,ATTACK,22,0,0,14,,-1,-1
147,1,ATTACK,23,0,0,13,,-1,-1
147,1,ATTACK,25,0,0,10,,-1,-1
147,1,ATTACK,27,0,0,15,,-1,-1
147,1,ATTACK,28,0,0,8,,-1,-1
147,1,ATTACK,30,0,0,1,,-1,-1
155,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
155,1,ATTACK,32,0,0,19,,-1,-1
160,0,GATHER,1,0,0,-1,,3,4
160,0,TRAIN,24,0,0,-1,MONK,-1,-1
160,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
160,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
163,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
163,1,ATTACK,33,0,0,19,,-1,-1
170,0,MOVE,35,67,22,-1,,-1,-1
171,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
174,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
174,0,ATTACK,19,0,0,28,,-1,-1
174,0,ATTACK,37,0,0,28,,-1,-1
174,0,ATTACK,26,0,0,28,,-1,-1
174,0,ATTACK,34,0,0,28,,-1,-1
174,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
174,0,TRAIN,24,0,0,-1,MONK,-1,-1
179,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
182,0,MOVE,35,59,22,-1,,-1,-1
182,0,ATTACK,39,0,0,28,,-1,-1
183,0,MOVE,35,58,22,-1,,-1,-1
183,1,HEAL,29,0,0,28,,-1,-1
183,1,HEAL,31,0,0,28,,-1,-1
184,0,MOVE,40,57,22,-1,,-1,-1
185,0,HEAL,35,0,0,37,,-1,-1
185,0,HEAL,40,0,0,37,,-1,-1
187,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
189,0,TRAIN,4,0,0,-1,PAWN,-1,-1
189,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
189,0,ATTACK,42,0,0,20,,-1,-1
189,1,ATTACK,23,0,0,1,,-1,-1
190,1,ATTACK,23,0,0,15,,-1,-1
190,1,ATTACK,30,0,0,24,,-1,-1
191,1,ATTACK,21,0,0,37,,-1,-1
191,1,ATTACK,28,0,0,14,,-1,-1
193,0,TRAIN,4,0,0,-1,PAWN,-1,-1
193,0,GATHER,43,0,0,-1,,3,4
195,0,HEAL,35,0,0,26,,-1,-1
195,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
197,0,TRAIN,4,0,0,-1,PAWN,-1,-1
197,0,GATHER,45,0,0,-1,,3,4
198,0,ATTACK,39,0,0,21,,-1,-1
199,1,HEAL,29,0,0,22,,-1,-1
199,1,HEAL,31,0,0,22,,-1,-1
201,0,TRAIN,4,0,0,-1,PAWN,-1,-1
201,0,GATHER,46,0,0,-1,,3,4
201,1,ATTACK,23,0,0,40,,-1,-1
202,0,HEAL,40,0,0,34,,-1,-1
203,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
203,0,HEAL,40,0,0,26,,-1,-1
203,0,ATTACK,47,0,0,21,,-1,-1
203,0,ATTACK,42,0,0,21,,-1,-1
203,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
203,1,ATTACK,33,0,0,26,,-1,-1
203,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
204,0,ATTACK,39,0,0,25,,-1,-1
204,0,ATTACK,47,0,0,23,,-1,-1
204,0,ATTACK,19,0,0,23,,-1,-1
204,0,ATTACK,42,0,0,23,,-1,-1
204,1,ATTACK,27,0,0,26,,-1,-1
205,0,GATHER,49,0,0,-1,,3,4
205,0,ATTACK,26,0,0,25,,-1,-1
205,0,ATTACK,37,0,0,23,,-1,-1
206,0,HEAL,35,0,0,37,,-1,-1
206,0,HEAL,40,0,0,37,,-1,-1
206,1,ATTACK,27,0,0,39,,-1,-1
207,0,HEAL,35,0,0,37,,-1,-1
207,0,HEAL,40,0,0,37,,-1,-1
208,0,HEAL,35,0,0,19,,-1,-1
208,0,HEAL,40,0,0,19,,-1,-1
209,0,HEAL,35,0,0,37,,-1,-1
209,0,HEAL,40,0,0,37,,-1,-1
209,1,HEAL,29,0,0,25,,-1,-1
209,1,HEAL,31,0,0,25,,-1,-1
210,0,HEAL,35,0,0,37,,-1,-1
210,0,HEAL,40,0,0,37,,-1,-1
211,0,HEAL,35,0,0,39,,-1,-1
211,0,HEAL,40,0,0,39,,-1,-1
211,0,ATTACK,51,0,0,30,,-1,-1
211,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
212,0,HEAL,35,0,0,19,,-1,-1
213,0,MOVE,35,61,20,-1,,-1,-1
214,0,HEAL,35,0,0,39,,-1,-1
215,0,MOVE,35,61,20,-1,,-1,-1
217,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
217,0,ATTACK,52,0,0,23,,-1,-1
217,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
219,0,HEAL,35,0,0,39,,-1,-1
219,0,HEAL,40,0,0,39,,-1,-1
219,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
220,0,MOVE,35,61,21,-1,,-1,-1
222,0,HEAL,35,0,0,39,,-1,-1
222,0,HEAL,40,0,0,39,,-1,-1
223,0,MOVE,35,61,20,-1,,-1,-1
223,1,ATTACK,23,0,0,37,,-1,-1
224,0,HEAL,35,0,0,39,,-1,-1
225,0,MOVE,35,62,20,-1,,-1,-1
225,0,ATTACK,54,0,0,30,,-1,-1
226,0,MOVE,35,62,20,-1,,-1,-1
227,0,MOVE,35,62,20,-1,,-1,-1
227,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
228,0,MOVE,35,62,20,-1,,-1,-1
229,0,MOVE,35,62,20,-1,,-1,-1
229,0,ATTACK,52,0,0,30,,-1,-1
230,0,HEAL,35,0,0,39,,-1,-1
230,0,ATTACK,47,0,0,30,,-1,-1
230,0,ATTACK,19,0,0,30,,-1,-1
230,0,ATTACK,37,0,0,30,,-1,-1
230,0,ATTACK,42,0,0,30,,-1,-1
231,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
231,0,MOVE,35,62,20,-1,,-1,-1
231,0,ATTACK,56,0,0,30,,-1,-1
231,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
231,0,TRAIN,24,0,0,-1,MONK,-1,-1
232,0,MOVE,35,63,20,-1,,-1,-1
233,0,MOVE,35,63,19,-1,,-1,-1
234,0,ATTACK,56,0,0,25,,-1,-1
234,0,ATTACK,54,0,0,27,,-1,-1
235,0,ATTACK,47,0,0,27,,-1,-1
235,0,ATTACK,19,0,0,27,,-1,-1
235,0,ATTACK,56,0,0,27,,-1,-1
235,0,ATTACK,52,0,0,27,,-1,-1
235,0,ATTACK,37,0,0,27,,-1,-1
235,0,ATTACK,42,0,0,27,,-1,-1
235,0,ATTACK,51,0,0,27,,-1,-1
235,0,ATTACK,39,0,0,27,,-1,-1
235,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
239,0,ATTACK,58,0,0,27,,-1,-1
241,0,HEAL,59,0,0,39,,-1,-1
241,1,HEAL,29,0,0,27,,-1,-1
241,1,HEAL,31,0,0,27,,-1,-1
242,0,HEAL,35,0,0,39,,-1,-1
243,0,MOVE,35,58,17,-1,,-1,-1
243,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
245,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
245,0,ATTACK,61,0,0,27,,-1,-1
245,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
246,1,ATTACK,32,0,0,54,,-1,-1
250,0,ATTACK,39,0,0,32,,-1,-1
250,0,ATTACK,47,0,0,32,,-1,-1
250,0,ATTACK,56,0,0,32,,-1,-1
250,0,ATTACK,52,0,0,32,,-1,-1
250,0,ATTACK,42,0,0,32,,-1,-1
250,0,ATTACK,61,0,0,32,,-1,-1
250,0,ATTACK,51,0,0,32,,-1,-1
250,0,ATTACK,58,0,0,32,,-1,-1
250,0,ATTACK,54,0,0,32,,-1,-1
251,0,ATTACK,19,0,0,32,,-1,-1
251,0,ATTACK,37,0,0,32,,-1,-1
