tick,agent,type,unit,target_x,target_y,target_unit,building_type,mine,base
1,0,BUILD,0,10,18,-1,BASE,-1,-1
1,1,BUILD,1,64,19,-1,BASE,-1,-1
23,1,TRAIN,5,0,0,-1,PAWN,-1,-1
23,1,BUILD,1,66,24,-1,BARRACKS,-1,-1
27,1,TRAIN,5,0,0,-1,PAWN,-1,-1
27,1,GATHER,7,0,0,-1,,3,5
31,1,GATHER,8,0,0,-1,,3,5
43,0,TRAIN,4,0,0,-1,PAWN,-1,-1
43,0,BUILD,0,8,26,-1,ARCHERY,-1,-1
47,0,TRAIN,4,0,0,-1,PAWN,-1,-1
47,0,GATHER,10,0,0,-1,,2,4
51,0,TRAIN,4,0,0,-1,PAWN,-1,-1
51,0,GATHER,11,0,0,-1,,2,4
51,1,TRAIN,5,0,0,-1,PAWN,-1,-1
55,0,GATHER,12,0,0,-1,,2,4
55,1,TRAIN,5,0,0,-1,PAWN,-1,-1
55,1,GATHER,13,0,0,-1,,3,5
59,1,GATHER,14,0,0,-1,,3,5
66,1,TRAIN,5,0,0,-1,PAWN,-1,-1
66,1,GATHER,1,0,0,-1,,3,5
68,0,TRAIN,4,0,0,-1,PAWN,-1,-1
70,1,GATHER,15,0,0,-1,,3,5
72,0,GATHER,16,0,0,-1,,2,4
79,1,TRAIN,6,0,0,-1,WARRIOR,-1,-1
97,1,BUILD,1,71,16,-1,ARCHERY,-1,-1
98,0,BUILD,0,23,23,-1,MONASTERY,-1,-1
98,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
106,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
114,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
123,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
131,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
139,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
147,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
151,1,BUILD,1,64,11,-1,MONASTERY,-1,-1
151,1,TRAIN,18,0,0,-1,ARCHER,-1,-1
155,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
163,0,GATHER,0,0,0,-1,,2,4
163,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
163,0,TRAIN,19,0,0,-1,MONK,-1,-1
163,0,ATTACK,20,0,0,17,,-1,-1
163,0,ATTACK,21,0,0,28,,-1,-1
163,0,ATTACK,22,0,0,7,,-1,-1
163,0,ATTACK,23,0,0,8,,-1,-1
163,0,ATTACK,24,0,0,14,,-1,-1
163,0,ATTACK,25,0,0,15,,-1,-1
163,0,ATTACK,27,0,0,13,,-1,-1
163,0,ATTACK,29,0,0,1,,-1,-1
171,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
171,0,ATTACK,30,0,0,17,,-1,-1
173,0,TRAIN,19,0,0,-1,MONK,-1,-1
179,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
179,0,ATTACK,32,0,0,17,,-1,-1
187,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
187,0,ATTACK,34,0,0,17,,-1,-1
195,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
195,0,ATTACK,35,0,0,17,,-1,-1
196,1,GATHER,1,0,0,-1,,3,5
196,1,TRAIN,26,0,0,-1,MONK,-1,-1
196,1,TRAIN,6,0,0,-1,WARRIOR,-1,-1
197,1,TRAIN,18,0,0,-1,ARCHER,-1,-1
201,1,ATTACK,28,0,0,27,,-1,-1
202,0,ATTACK,29,0,0,13,,-1,-1
202,1,TRAIN,5,0,0,-1,PAWN,-1,-1
203,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
203,0,ATTACK,36,0,0,17,,-1,-1
203,0,ATTACK,21,0,0,8,,-1,-1
203,0,ATTACK,22,0,0,15,,-1,-1
203,0,ATTACK,27,0,0,14,,-1,-1
203,0,ATTACK,29,0,0,8,,-1,-1
205,0,ATTACK,23,0,0,14,,-1,-1
205,0,ATTACK,25,0,0,1,,-1,-1
205,0,ATTACK,29,0,0,1,,-1,-1
205,1,ATTACK,17,0,0,20,,-1,-1
205,1,ATTACK,37,0,0,27,,-1,-1
206,0,ATTACK,21,0,0,1,,-1,-1
206,0,ATTACK,22,0,0,38,,-1,-1
206,0,ATTACK,23,0,0,5,,-1,-1
206,0,ATTACK,24,0,0,26,,-1,-1
206,0,ATTACK,27,0,0,28,,-1,-1
206,0,HEAL,31,0,0,27,,-1,-1
206,0,HEAL,33,0,0,27,,-1,-1
206,1,TRAIN,5,0,0,-1,PAWN,-1,-1
206,1,GATHER,38,0,0,-1,,3,5
206,1,TRAIN,26,0,0,-1,MONK,-1,-1
206,1,HEAL,39,0,0,17,,-1,-1
209,0,ATTACK,29,0,0,38,,-1,-1
210,0,ATTACK,21,0,0,38,,-1,-1
210,0,ATTACK,25,0,0,5,,-1,-1
210,1,TRAIN,5,0,0,-1,PAWN,-1,-1
210,1,GATHER,40,0,0,-1,,3,5
210,1,TRAIN,6,0,0,-1,WARRIOR,-1,-1
210,1,ATTACK,41,0,0,20,,-1,-1
211,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
211,0,ATTACK,22,0,0,39,,-1,-1
211,0,ATTACK,30,0,0,40,,-1,-1
211,1,TRAIN,18,0,0,-1,ARCHER,-1,-1
212,0,ATTACK,21,0,0,40,,-1,-1
212,0,ATTACK,29,0,0,40,,-1,-1
214,1,TRAIN,5,0,0,-1,PAWN,-1,-1
214,1,GATHER,43,0,0,-1,,3,5
216,0,ATTACK,21,0,0,39,,-1,-1
216,0,ATTACK,29,0,0,44,,-1,-1
216,0,ATTACK,30,0,0,43,,-1,-1
216,1,HEAL,44,0,0,28,,-1,-1
218,1,TRAIN,5,0,0,-1,PAWN,-1,-1
218,1,GATHER,45,0,0,-1,,3,5
219,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
219,1,ATTACK,37,0,0,25,,-1,-1
219,1,ATTACK,41,0,0,23,,-1,-1
219,1,ATTACK,47,0,0,23,,-1,-1
220,1,ATTACK,28,0,0,23,,-1,-1
220,1,ATTACK,17,0,0,23,,-1,-1
221,0,ATTACK,30,0,0,45,,-1,-1
221,0,ATTACK,32,0,0,45,,-1,-1
222,0,ATTACK,29,0,0,39,,-1,-1
222,1,TRAIN,5,0,0,-1,PAWN,-1,-1
222,1,GATHER,48,0,0,-1,,3,5
223,0,HEAL,31,0,0,23,,-1,-1
223,0,HEAL,33,0,0,23,,-1,-1
224,0,ATTACK,22,0,0,45,,-1,-1
224,0,ATTACK,29,0,0,48,,-1,-1
224,1,TRAIN,26,0,0,-1,MONK,-1,-1
224,1,ATTACK,49,0,0,23,,-1,-1
224,1,TRAIN,6,0,0,-1,WARRIOR,-1,-1
224,1,TRAIN,18,0,0,-1,ARCHER,-1,-1
225,0,ATTACK,21,0,0,45,,-1,-1
226,0,ATTACK,22,0,0,41,,-1,-1
226,0,ATTACK,30,0,0,50,,-1,-1
226,0,ATTACK,32,0,0,48,,-1,-1
226,1,TRAIN,5,0,0,-1,PAWN,-1,-1
226,1,GATHER,50,0,0,-1,,3,5
227,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
227,0,ATTACK,21,0,0,41,,-1,-1
228,0,ATTACK,32,0,0,50,,-1,-1
228,0,ATTACK,34,0,0,17,,-1,-1
229,0,ATTACK,29,0,0,41,,-1,-1
230,1,TRAIN,5,0,0,-1,PAWN,-1,-1
230,1,GATHER,52,0,0,-1,,3,5
230,1,HEAL,44,0,0,28,,-1,-1
231,1,HEAL,44,0,0,17,,-1,-1
232,1,HEAL,44,0,0,17,,-1,-1
232,1,ATTACK,41,0,0,24,,-1,-1
232,1,ATTACK,49,0,0,24,,-1,-1
232,1,ATTACK,53,0,0,25,,-1,-1
232,1,ATTACK,47,0,0,25,,-1,-1
233,0,ATTACK,30,0,0,52,,-1,-1
233,0,ATTACK,32,0,0,17,,-1,-1
233,0,HEAL,31,0,0,25,,-1,-1
233,0,HEAL,33,0,0,25,,-1,-1
233,1,HEAL,44,0,0,41,,-1,-1
233,1,ATTACK,28,0,0,25,,-1,-1
233,1,ATTACK,17,0,0,24,,-1,-1
234,1,TRAIN,5,0,0,-1,PAWN,-1,-1
234,1,GATHER,54,0,0,-1,,3,5
234,1,HEAL,55,0,0,17,,-1,-1
234,1,HEAL,44,0,0,17,,-1,-1
235,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
235,1,HEAL,44,0,0,41,,-1,-1
236,1,HEAL,44,0,0,17,,-1,-1
237,1,HEAL,44,0,0,41,,-1,-1
237,1,ATTACK,53,0,0,24,,-1,-1
238,0,HEAL,31,0,0,24,,-1,-1
238,0,HEAL,33,0,0,24,,-1,-1
238,1,GATHER,57,0,0,-1,,3,5
238,1,HEAL,55,0,0,41,,-1,-1
238,1,HEAL,44,0,0,41,,-1,-1
238,1,ATTACK,58,0,0,35,,-1,-1
238,1,ATTACK,37,0,0,24,,-1,-1
238,1,ATTACK,28,0,0,24,,-1,-1
238,1,ATTACK,47,0,0,24,,-1,-1
239,1,HEAL,55,0,0,17,,-1,-1
240,1,HEAL,55,0,0,17,,-1,-1
241,1,HEAL,55,0,0,41,,-1,-1
241,1,HEAL,44,0,0,41,,-1,-1
242,1,HEAL,55,0,0,17,,-1,-1
243,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
243,1,HEAL,55,0,0,17,,-1,-1
243,1,ATTACK,53,0,0,22,,-1,-1
243,1,ATTACK,47,0,0,22,,-1,-1
243,1,ATTACK,41,0,0,22,,-1,-1
243,1,ATTACK,49,0,0,22,,-1,-1
244,0,HEAL,31,0,0,35,,-1,-1
244,0,HEAL,33,0,0,35,,-1,-1
244,1,HEAL,55,0,0,41,,-1,-1
244,1,ATTACK,17,0,0,22,,-1,-1
244,1,ATTACK,37,0,0,22,,-1,-1
244,1,ATTACK,28,0,0,35,,-1,-1
245,1,HEAL,55,0,0,17,,-1,-1
246,1,HEAL,55,0,0,17,,-1,-1
247,1,HEAL,55,0,0,41,,-1,-1
248,1,MOVE,55,64,18,-1,,-1,-1
249,1,HEAL,55,0,0,41,,-1,-1
250,1,MOVE,55,63,19,-1,,-1,-1
250,1,MOVE,44,63,19,-1,,-1,-1
250,1,ATTACK,41,0,0,21,,-1,-1
250,1,ATTACK,49,0,0,21,,-1,-1
250,1,ATTACK,53,0,0,21,,-1,-1
250,1,ATTACK,47,0,0,35,,-1,-1
251,0,TRAIN,9,0,0,-1,ARCHER,-1,-1
251,1,ATTACK,17,0,0,21,,-1,-1
251,1,ATTACK,37,0,0,21,,-1,-1
