tick,agent,type,unit,target_x,target_y,target_unit,building_type,mine,base
1,0,BUILD,0,7,7,-1,BASE,-1,-1
1,1,BUILD,1,62,20,-1,BASE,-1,-1
23,0,TRAIN,4,0,0,-1,PAWN,-1,-1
23,0,BUILD,0,9,3,-1,ARCHERY,-1,-1
23,1,TRAIN,5,0,0,-1,PAWN,-1,-1
23,1,BUILD,1,66,25,-1,BARRACKS,-1,-1
27,0,TRAIN,4,0,0,-1,PAWN,-1,-1
27,0,GATHER,8,0,0,-1,,2,4
27,1,TRAIN,5,0,0,-1,PAWN,-1,-1
27,1,GATHER,9,0,0,-1,,3,5
31,0,TRAIN,4,0,0,-1,PAWN,-1,-1
31,0,GATHER,10,0,0,-1,,2,4
31,1,GATHER,11,0,0,-1,,3,5
35,0,GATHER,12,0,0,-1,,2,4
39,1,TRAIN,5,0,0,-1,PAWN,-1,-1
43,1,GATHER,13,0,0,-1,,3,5
45,1,TRAIN,5,0,0,-1,PAWN,-1,-1
49,1,TRAIN,5,0,0,-1,PAWN,-1,-1
49,1,GATHER,14,0,0,-1,,3,5
50,0,TRAIN,4,0,0,-1,PAWN,-1,-1
53,1,GATHER,15,0,0,-1,,3,5
54,0,GATHER,16,0,0,-1,,2,4
65,0,GATHER,0,0,0,-1,,2,4
68,1,GATHER,1,0,0,-1,,3,5
68,1,TRAIN,7,0,0,-1,WARRIOR,-1,-1
74,1,BUILD,1,69,19,-1,ARCHERY,-1,-1
77,0,BUILD,0,3,8,-1,MONASTERY,-1,-1
77,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
83,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
91,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
99,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
107,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
115,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
115,1,BUILD,1,68,15,-1,MONASTERY,-1,-1
115,1,TRAIN,17,0,0,-1,ARCHER,-1,-1
123,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
129,0,GATHER,0,0,0,-1,,2,4
129,0,TRAIN,18,0,0,-1,MONK,-1,-1
131,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
139,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
139,0,TRAIN,18,0,0,-1,MONK,-1,-1
147,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
147,0,ATTACK,20,0,0,19,,-1,-1
147,0,ATTACK,21,0,0,26,,-1,-1
147,0,ATTACK,22,0,0,14,,-1,-1
147,0,ATTACK,23,0,0,13,,-1,-1
147,0,ATTACK,25,0,0,11,,-1,-1
147,0,ATTACK,27,0,0,15,,-1,-1
147,0,ATTACK,28,0,0,9,,-1,-1
147,0,ATTACK,30,0,0,1,,-1,-1
155,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
155,0,ATTACK,32,0,0,19,,-1,-1
160,1,GATHER,1,0,0,-1,,3,5
160,1,TRAIN,24,0,0,-1,MONK,-1,-1
160,1,TRAIN,7,0,0,-1,WARRIOR,-1,-1
160,1,TRAIN,17,0,0,-1,ARCHER,-1,-1
163,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
163,0,ATTACK,33,0,0,19,,-1,-1
170,1,MOVE,35,67,22,-1,,-1,-1
171,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
174,1,TRAIN,7,0,0,-1,WARRIOR,-1,-1
174,1,ATTACK,19,0,0,28,,-1,-1
174,1,ATTACK,37,0,0,28,,-1,-1
174,1,ATTACK,26,0,0,28,,-1,-1
174,1,ATTACK,34,0,0,28,,-1,-1
174,1,TRAIN,17,0,0,-1,ARCHER,-1,-1
174,1,TRAIN,24,0,0,-1,MONK,-1,-1
179,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
182,1,MOVE,35,59,22,-1,,-1,-1
182,1,ATTACK,39,0,0,28,,-1,-1
183,0,HEAL,29,0,0,28,,-1,-1
183,0,HEAL,31,0,0,28,,-1,-1
183,1,MOVE,35,58,22,-1,,-1,-1
184,1,MOVE,40,57,22,-1,,-1,-1
185,1,HEAL,35,0,0,37,,-1,-1
185,1,HEAL,40,0,0,37,,-1,-1
187,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
