tick,agent,type,unit,target_x,target_y,target_unit,building_type,mine,base
1,0,BUILD,1,63,15,-1,BASE,-1,-1
1,1,BUILD,0,6,13,-1,BASE,-1,-1
42,0,TRAIN,4,0,0,-1,PAWN,-1,-1
42,0,BUILD,1,65,20,-1,BARRACKS,-1,-1
46,1,TRAIN,5,0,0,-1,PAWN,-1,-1
46,1,BUILD,0,8,9,-1,ARCHERY,-1,-1
47,0,TRAIN,4,0,0,-1,PAWN,-1,-1
47,0,GATHER,8,0,0,-1,,3,4
50,1,TRAIN,5,0,0,-1,PAWN,-1,-1
50,1,GATHER,9,0,0,-1,,2,5
51,0,GATHER,10,0,0,-1,,3,4
54,1,TRAIN,5,0,0,-1,PAWN,-1,-1
54,1,GATHER,11,0,0,-1,,2,5
57,0,TRAIN,4,0,0,-1,PAWN,-1,-1
58,1,GATHER,12,0,0,-1,,2,5
61,0,GATHER,13,0,0,-1,,3,4
62,0,TRAIN,4,0,0,-1,PAWN,-1,-1
66,0,TRAIN,4,0,0,-1,PAWN,-1,-1
66,0,GATHER,14,0,0,-1,,3,4
70,0,GATHER,15,0,0,-1,,3,4
71,1,TRAIN,5,0,0,-1,PAWN,-1,-1
75,1,GATHER,16,0,0,-1,,2,5
80,0,BUILD,8,61,20,-1,ARCHERY,-1,-1
85,1,GATHER,0,0,0,-1,,2,5
86,0,GATHER,1,0,0,-1,,3,4
86,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
88,1,BUILD,0,12,6,-1,MONASTERY,-1,-1
88,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
93,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
100,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
101,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
109,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
114,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
117,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
121,0,BUILD,8,53,26,-1,MONASTERY,-1,-1
121,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
125,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
129,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
130,0,ATTACK,19,0,0,9,,-1,-1
130,0,ATTACK,22,0,0,9,,-1,-1
130,0,ATTACK,26,0,0,9,,-1,-1
130,0,ATTACK,27,0,0,9,,-1,-1
130,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
134,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
140,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
140,0,ATTACK,29,0,0,9,,-1,-1
146,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
150,0,ATTACK,31,0,0,9,,-1,-1
150,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
156,0,ATTACK,32,0,0,9,,-1,-1
156,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
165,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
176,0,ATTACK,34,0,0,9,,-1,-1
176,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
186,0,ATTACK,35,0,0,9,,-1,-1
186,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
186,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
207,1,ATTACK,33,0,0,27,,-1,-1
216,1,ATTACK,28,0,0,27,,-1,-1
222,1,ATTACK,23,0,0,27,,-1,-1
225,0,ATTACK,37,0,0,9,,-1,-1
225,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
225,1,ATTACK,20,0,0,27,,-1,-1
226,1,GATHER,0,0,0,-1,,2,5
226,1,TRAIN,18,0,0,-1,MONK,-1,-1
227,1,ATTACK,36,0,0,27,,-1,-1
234,0,GATHER,8,0,0,-1,,3,4
234,0,TRAIN,24,0,0,-1,MONK,-1,-1
235,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
235,1,ATTACK,38,0,0,27,,-1,-1
241,1,ATTACK,33,0,0,29,,-1,-1
247,0,ATTACK,39,0,0,33,,-1,-1
247,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
251,0,ATTACK,40,0,0,33,,-1,-1
251,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
257,1,TRAIN,18,0,0,-1,MONK,-1,-1
257,1,HEAL,41,0,0,33,,-1,-1
270,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
285,0,HEAL,43,0,0,29,,-1,-1
285,0,TRAIN,24,0,0,-1,MONK,-1,-1
296,1,ATTACK,38,0,0,19,,-1,-1
296,1,ATTACK,42,0,0,19,,-1,-1
305,1,HEAL,41,0,0,33,,-1,-1
306,0,ATTACK,44,0,0,33,,-1,-1
306,1,HEAL,41,0,0,33,,-1,-1
306,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
307,1,HEAL,41,0,0,33,,-1,-1
308,1,HEAL,41,0,0,33,,-1,-1
309,1,HEAL,41,0,0,33,,-1,-1
310,1,HEAL,41,0,0,33,,-1,-1
311,1,HEAL,41,0,0,33,,-1,-1
312,1,HEAL,41,0,0,33,,-1,-1
313,1,HEAL,41,0,0,33,,-1,-1
314,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
314,1,ATTACK,45,0,0,19,,-1,-1
316,1,HEAL,46,0,0,33,,-1,-1
323,0,HEAL,47,0,0,29,,-1,-1
323,0,ATTACK,19,0,0,38,,-1,-1
323,0,ATTACK,22,0,0,38,,-1,-1
323,0,ATTACK,26,0,0,38,,-1,-1
323,0,ATTACK,29,0,0,38,,-1,-1
323,0,ATTACK,32,0,0,38,,-1,-1
323,0,ATTACK,34,0,0,38,,-1,-1
323,0,ATTACK,40,0,0,38,,-1,-1
323,0,ATTACK,39,0,0,38,,-1,-1
323,0,ATTACK,44,0,0,38,,-1,-1
324,0,TRAIN,6,0,0,-1,WARRIOR,-1,-1
324,0,ATTACK,48,0,0,38,,-1,-1
325,1,HEAL,46,0,0,38,,-1,-1
326,0,ATTACK,49,0,0,38,,-1,-1
326,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
332,0,ATTACK,48,0,0,45,,-1,-1
332,0,ATTACK,40,0,0,45,,-1,-1
332,0,ATTACK,39,0,0,45,,-1,-1
332,0,ATTACK,32,0,0,45,,-1,-1
332,0,ATTACK,34,0,0,45,,-1,-1
332,0,ATTACK,37,0,0,45,,-1,-1
332,0,ATTACK,44,0,0,45,,-1,-1
332,0,ATTACK,49,0,0,45,,-1,-1
333,0,ATTACK,29,0,0,45,,-1,-1
333,0,ATTACK,19,0,0,45,,-1,-1
333,0,ATTACK,22,0,0,45,,-1,-1
333,0,ATTACK,26,0,0,45,,-1,-1
333,0,ATTACK,31,0,0,45,,-1,-1
334,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
334,1,ATTACK,50,0,0,19,,-1,-1
335,1,HEAL,41,0,0,45,,-1,-1
335,1,HEAL,46,0,0,45,,-1,-1
341,0,ATTACK,22,0,0,9,,-1,-1
341,0,ATTACK,26,0,0,9,,-1,-1
341,0,ATTACK,31,0,0,9,,-1,-1
341,0,ATTACK,48,0,0,9,,-1,-1
341,0,ATTACK,40,0,0,9,,-1,-1
341,0,ATTACK,39,0,0,9,,-1,-1
341,0,ATTACK,29,0,0,9,,-1,-1
341,0,ATTACK,32,0,0,9,,-1,-1
341,0,ATTACK,34,0,0,9,,-1,-1
341,0,ATTACK,37,0,0,9,,-1,-1
341,0,ATTACK,44,0,0,9,,-1,-1
341,0,ATTACK,49,0,0,9,,-1,-1
342,0,ATTACK,19,0,0,9,,-1,-1
345,1,ATTACK,28,0,0,22,,-1,-1
346,0,ATTACK,51,0,0,50,,-1,-1
346,0,TRAIN,17,0,0,-1,ARCHER,-1,-1
347,1,ATTACK,23,0,0,22,,-1,-1
351,1,HEAL,41,0,0,50,,-1,-1
351,1,HEAL,46,0,0,50,,-1,-1
354,1,HEAL,46,0,0,50,,-1,-1
358,1,HEAL,46,0,0,50,,-1,-1
362,1,TRAIN,7,0,0,-1,ARCHER,-1,-1
362,1,ATTACK,52,0,0,19,,-1,-1
365,0,HEAL,43,0,0,29,,-1,-1
366,0,HEAL,43,0,0,29,,-1,-1
